project-01-graphql-service-1,153.32%,647.8MiB / 7.654GiB
project-01-grpc-service-1,0.71%,622.3MiB / 7.654GiB
project-01-rest-service-1,0.73%,75.51MiB / 7.654GiB
project-01-db-1,8.00%,77.76MiB / 7.654GiB
project-01-graphql-service-1,108.58%,734.4MiB / 7.654GiB
project-01-grpc-service-1,0.72%,622.3MiB / 7.654GiB
project-01-rest-service-1,1.03%,76.72MiB / 7.654GiB
project-01-db-1,7.59%,78.75MiB / 7.654GiB
project-01-graphql-service-1,112.28%,704.4MiB / 7.654GiB
project-01-grpc-service-1,0.65%,622.3MiB / 7.654GiB
project-01-rest-service-1,1.11%,78.05MiB / 7.654GiB
project-01-db-1,13.34%,82.58MiB / 7.654GiB
project-01-graphql-service-1,111.41%,682MiB / 7.654GiB
project-01-grpc-service-1,2.46%,622.4MiB / 7.654GiB
project-01-rest-service-1,2.15%,80.58MiB / 7.654GiB
project-01-db-1,11.36%,82.81MiB / 7.654GiB
project-01-graphql-service-1,112.45%,764.3MiB / 7.654GiB
project-01-grpc-service-1,3.21%,622.5MiB / 7.654GiB
project-01-rest-service-1,1.31%,82.3MiB / 7.654GiB
project-01-db-1,12.74%,83.54MiB / 7.654GiB
project-01-graphql-service-1,111.64%,725.7MiB / 7.654GiB
project-01-grpc-service-1,2.75%,622.9MiB / 7.654GiB
project-01-rest-service-1,1.80%,83.57MiB / 7.654GiB
project-01-db-1,6.89%,86.5MiB / 7.654GiB
project-01-graphql-service-1,110.40%,691.3MiB / 7.654GiB
project-01-grpc-service-1,0.76%,622.7MiB / 7.654GiB
project-01-rest-service-1,1.83%,85.7MiB / 7.654GiB
project-01-db-1,18.08%,87.65MiB / 7.654GiB
project-01-graphql-service-1,111.50%,768.3MiB / 7.654GiB
project-01-grpc-service-1,0.72%,623.1MiB / 7.654GiB
project-01-rest-service-1,0.96%,87.46MiB / 7.654GiB
project-01-db-1,16.55%,105.1MiB / 7.654GiB
project-01-graphql-service-1,115.65%,700.2MiB / 7.654GiB
project-01-grpc-service-1,0.89%,626.5MiB / 7.654GiB
project-01-rest-service-1,3.26%,89.88MiB / 7.654GiB
project-01-db-1,14.31%,99MiB / 7.654GiB
project-01-graphql-service-1,132.92%,681.1MiB / 7.654GiB
project-01-grpc-service-1,0.76%,629.2MiB / 7.654GiB
project-01-rest-service-1,1.91%,92.65MiB / 7.654GiB
project-01-db-1,25.09%,102.2MiB / 7.654GiB
project-01-graphql-service-1,116.66%,754.4MiB / 7.654GiB
project-01-grpc-service-1,2.33%,630.6MiB / 7.654GiB
project-01-rest-service-1,1.42%,93.51MiB / 7.654GiB
project-01-db-1,9.88%,95.34MiB / 7.654GiB
project-01-graphql-service-1,111.07%,714.1MiB / 7.654GiB
project-01-grpc-service-1,7.46%,633MiB / 7.654GiB
project-01-rest-service-1,1.60%,93.53MiB / 7.654GiB
project-01-db-1,23.03%,101.3MiB / 7.654GiB
project-01-graphql-service-1,149.58%,685.7MiB / 7.654GiB
project-01-grpc-service-1,3.63%,638.7MiB / 7.654GiB
project-01-rest-service-1,1.93%,93.53MiB / 7.654GiB
project-01-db-1,20.08%,96.93MiB / 7.654GiB
project-01-graphql-service-1,114.33%,761.8MiB / 7.654GiB
project-01-grpc-service-1,3.24%,643.2MiB / 7.654GiB
project-01-rest-service-1,2.39%,93.56MiB / 7.654GiB
project-01-db-1,17.62%,99.65MiB / 7.654GiB
project-01-graphql-service-1,113.70%,717.7MiB / 7.654GiB
project-01-grpc-service-1,5.55%,643.6MiB / 7.654GiB
project-01-rest-service-1,2.25%,93.62MiB / 7.654GiB
project-01-db-1,17.21%,95.46MiB / 7.654GiB
project-01-graphql-service-1,114.50%,779.8MiB / 7.654GiB
project-01-grpc-service-1,1.86%,647MiB / 7.654GiB
project-01-rest-service-1,1.98%,93.66MiB / 7.654GiB
project-01-db-1,14.17%,95.31MiB / 7.654GiB
project-01-graphql-service-1,115.70%,729.8MiB / 7.654GiB
project-01-grpc-service-1,2.40%,652.8MiB / 7.654GiB
project-01-rest-service-1,2.55%,93.73MiB / 7.654GiB
